Pair,Region,Static Return,Dynamic Return
HDFCBANK.NS vs ICICIBANK.NS,India,0.7388350708142302,0.0665084965177234
TCS.NS vs INFY.NS,India,0.4252918956291094,0.06969711358102917
SBIN.NS vs PNB.NS,India,1.0058577369384656,0.03444875834365537
KO vs PEP,US,0.9080339876032222,0.10940888490591535
MSFT vs AAPL,US,0.41505448368779946,0.06100587695080557
WMT vs TGT,US,0.01859089173312628,6.249536407206104e-05
TSCO.L vs SBRY.L,UK,1.2810665386730111,0.044907935676423524
BP vs SHEL,UK,0.9402656109576385,0.039825543638495275
